,place_name,tour_element,tour_element_name,,,,,,,,,,,,
407,달마사,카페,참베이커리,,,,,,,,,,,,
408,달마사,카페,,,,,,,,,,,,,
409,달마사,카페,발렌느,,,,,,,,,,,,
410,달마사,카페,터방내,,,,,,,,,,,,
411,달마사,카페,,,,,,,,,,,,,
412,달마사,카페,매머드커피 상도역점,,,,,,,,,,,,
413,달마사,카페,스테이선샤인,,,,,,,,,,,,
414,달마사,카페,,,,,,,,,,,,,
415,달마사,카페,브레댄코 숭실대입구역점,,,,,,,,,,,,
416,달마사,카페,블루포트,,,,,,,,,,,,
417,달마사,카페,,,,,,,,,,,,,
418,달마사,카페,기프트 카페,,,,,,,,,,,,
419,달마사,카페,파리바게뜨 상도역점,,,,,,,,,,,,
420,달마사,카페,,,,,,,,,,,,,
421,달마사,카페,모짜르트제과점,,,,,,,,,,,,
422,달마사,카페,쉼표숭실대점,,,,,,,,,,,,
423,달마사,카페,토모카,,,,,,,,,,,,
424,달마사,카페,HAUS507,,,,,,,,,,,,
425,달마사,카페,,,,,,,,,,,,,
426,달마사,카페,,,,,,,,,,,,,
427,달마사,카페,,,,,,,,,,,,,
428,달마사,카페,,,,,,,,,,,,,
429,달마사,카페,리치몽브레 흑석점,,,,,,,,,,,,
430,달마사,카페,문커피,,,,,,,,,,,,
431,달마사,카페,,,,,,,,,,,,,
432,달마사,카페,델리&젤라또 중앙대병원점,,,,,,,,,,,,
433,달마사,카페,요세프,,,,,,,,,,,,
434,달마사,카페,,,,,,,,,,,,,
435,달마사,카페,아르티장 테이블,,,,,,,,,,,,
436,달마사,카페,중앙대310관 카페,,,,,,,,,,,,
437,달마사,카페,,,,,,,,,,,,,
438,달마사,카페,데얼스팩토리,,,,,,,,,,,,
439,달마사,카페,숭실대학교 잡카페,,,,,,,,,,,,
440,달마사,카페,,,,,,,,,,,,,
441,달마사,카페,커피농장,,,,,,,,,,,,
442,달마사,카페,빅토리아가든,,,,,,,,,,,,
443,달마사,카페,동작노을카페,,,,,,,,,,,,
